iter	Passed	Remaining
403	9773	37448
404	9801	37440
405	9832	37441
406	9861	37434
407	9884	37406
408	9914	37403
409	9943	37398
410	9969	37378
411	9997	37370
412	10026	37363
413	10055	37355
414	10085	37353
415	10108	37324
416	10135	37310
417	10166	37309
418	10195	37303
419	10226	37304
420	10255	37294
421	10284	37286
422	10314	37283
423	10342	37270
424	10372	37267
425	10395	37238
426	10425	37232
427	10454	37225
428	10484	37219
429	10508	37195
430	10537	37187
431	10565	37176
432	10591	37156
433	10621	37149
434	10647	37130
435	10674	37116
436	10702	37102
437	10730	37091
438	10760	37084
439	10787	37070
440	10816	37058
441	10842	37040
442	10868	37020
443	10896	37009
444	10922	36988
445	10948	36970
446	10976	36956
447	11002	36938
448	11028	36918
449	11054	36897
450	11081	36881
451	11108	36864
452	11134	36844
453	11161	36827
454	11187	36809
455	11214	36792
456	11240	36772
457	11269	36762
458	11296	36745
459	11324	36731
460	11352	36716
461	11379	36700
462	11405	36680
463	11431	36660
464	11457	36638
465	11484	36623
466	11510	36600
467	11537	36585
468	11564	36566
469	11591	36551
470	11619	36536
471	11646	36517
472	11676	36511
473	11705	36499
474	11732	36480
475	11758	36460
476	11785	36444
477	11814	36431
478	11843	36420
479	11870	36404
480	11897	36384
481	11925	36370
482	11952	36351
483	11978	36330
484	12007	36318
485	12034	36301
486	12061	36282
487	12088	36264
488	12114	36244
489	12138	36216
490	12168	36208
491	12199	36203
492	12228	36188
493	12254	36169
494	12282	36151
495	12311	36140
496	12339	36125
497	12370	36118
498	12397	36098
499	12423	36078
500	12450	36059
501	12477	36041
502	12504	36022
503	12537	36019
504	12567	36009
505	12595	35994
506	12625	35984
507	12653	35966
508	12683	35956
509	12715	35951
510	12744	35939
511	12773	35924
512	12800	35906
513	12828	35890
514	12859	35881
515	12889	35871
516	12914	35845
517	12944	35835
518	12973	35821
519	13004	35812
520	13033	35799
521	13058	35772
522	13087	35758
523	13117	35748
524	13146	35734
525	13174	35715
526	13206	35710
527	13233	35691
528	13263	35679
529	13291	35662
530	13318	35641
531	13344	35619
532	13371	35598
533	13398	35579
534	13425	35559
535	13452	35537
536	13478	35514
537	13505	35496
538	13532	35474
539	13560	35458
540	13586	35435
541	13610	35406
542	13636	35385
543	13663	35364
544	13690	35344
545	13719	35329
546	13745	35305
547	13772	35285
548	13799	35265
549	13826	35244
550	13852	35222
551	13880	35203
552	13908	35185
553	13934	35164
554	13961	35143
555	13988	35121
556	14015	35100
557	14040	35076
558	14067	35056
559	14094	35033
560	14119	35010
561	14146	34989
562	14174	34970
563	14201	34949
564	14228	34929
565	14254	34906
566	14282	34888
567	14310	34869
568	14337	34848
569	14365	34830
570	14394	34813
571	14424	34801
572	14457	34794
573	14489	34784
574	14520	34774
575	14550	34759
576	14581	34748
577	14613	34737
578	14642	34722
579	14674	34712
580	14703	34695
581	14731	34676
582	14758	34655
583	14785	34633
584	14810	34607
585	14837	34586
586	14859	34553
587	14886	34531
588	14915	34515
589	14941	34492
590	14970	34475
591	14999	34458
592	15030	34445
593	15059	34428
594	15085	34406
595	15112	34383
596	15139	34362
597	15166	34340
598	15185	34299
599	15204	34259
600	15221	34216
601	15241	34179
602	15260	34139
603	15278	34097
604	15296	34056
605	15313	34012
606	15331	33971
607	15350	33931
608	15368	33892
609	15386	33850
610	15406	33813
611	15421	33766
612	15440	33726
613	15459	33688
614	15478	33648
615	15496	33609
616	15515	33571
617	15533	33530
618	15551	33490
619	15570	33450
620	15588	33410
621	15606	33370
622	15623	33328
623	15641	33287
624	15662	33253
625	15680	33213
626	15698	33174
627	15713	33129
628	15731	33088
629	15751	33052
630	15770	33015
631	15789	32977
632	15806	32935
633	15824	32896
634	15842	32857
635	15861	32820
636	15879	32781
637	15899	32746
638	15917	32706
639	15936	32669
640	15955	32632
641	15974	32595
642	15991	32555
643	16010	32519
644	16029	32481
645	16048	32444
646	16066	32405
647	16083	32366
648	16102	32329
649	16121	32292
650	16139	32254
651	16159	32220
652	16180	32186
653	16199	32150
654	16218	32115
655	16237	32078
656	16254	32039
657	16273	32003
658	16293	31968
659	16313	31934
660	16333	31900
661	16351	31862
662	16369	31824
663	16386	31785
664	16404	31749
665	16423	31712
666	16453	31697
667	16475	31669
668	16496	31635
669	16515	31601
670	16535	31568
671	16555	31534
672	16573	31497
673	16592	31460
674	16611	31427
675	16630	31390
676	16650	31357
677	16669	31321
678	16688	31287
679	16706	31251
680	16724	31214
681	16742	31177
682	16761	31142
683	16780	31107
684	16798	31071
685	16818	31039
686	16837	31002
687	16855	30967
688	16872	30929
689	16891	30894
690	16908	30856
691	16926	30819
692	16943	30781
693	16960	30744
694	16978	30706
695	16996	30672
696	17014	30636
697	17033	30601
698	17052	30567
699	17068	30528
700	17087	30493
701	17105	30458
702	17124	30424
703	17144	30392
704	17163	30358
705	17180	30321
706	17198	30286
707	17216	30250
708	17235	30216
709	17253	30182
710	17271	30146
711	17290	30111
712	17308	30078
713	17323	30037
714	17342	30003
715	17363	29973
716	17381	29938
717	17398	29903
718	17417	29869
719	17435	29834
720	17451	29796
721	17469	29760
722	17488	29728
723	17507	29694
724	17526	29661
725	17545	29629
726	17565	29597
727	17584	29564
728	17601	29529
729	17619	29494
730	17637	29460
731	17658	29431
732	17677	29397
733	17693	29359
734	17712	29328
735	17731	29294
736	17749	29261
737	17768	29228
738	17787	29196
739	17805	29162
740	17823	29129
741	17842	29096
742	17860	29062
743	17878	29028
744	17896	28995
745	17916	28963
746	17934	28931
747	17953	28898
748	17972	28867
749	17991	28834
750	18009	28800
751	18028	28768
752	18047	28736
753	18065	28703
754	18081	28667
755	18101	28636
756	18120	28605
757	18137	28570
758	18157	28540
759	18177	28509
760	18195	28477
761	18212	28442
762	18230	28408
763	18250	28378
764	18269	28347
765	18287	28314
766	18303	28279
767	18321	28245
768	18339	28213
769	18360	28184
770	18379	28152
771	18396	28119
772	18413	28085
773	18431	28052
774	18451	28021
775	18469	27989
776	18486	27956
777	18504	27923
778	18521	27889
779	18539	27857
780	18557	27824
781	18577	27794
782	18595	27762
783	18614	27732
784	18633	27701
785	18651	27669
786	18671	27638
787	18690	27608
788	18708	27576
789	18726	27544
790	18742	27509
791	18761	27479
792	18780	27448
793	18798	27416
794	18816	27384
795	18834	27353
796	18853	27322
797	18872	27291
798	18890	27260
799	18910	27231
800	18930	27201
801	18947	27169
802	18968	27141
803	18987	27110
804	19008	27084
805	19028	27055
806	19047	27024
807	19065	26993
808	19083	26962
809	19102	26931
810	19117	26896
811	19135	26864
812	19154	26834
813	19173	26805
814	19192	26775
815	19211	26745
816	19229	26714
817	19248	26683
818	19265	26651
819	19283	26621
820	19302	26590
821	19319	26558
822	19336	26525
823	19354	26495
824	19372	26463
825	19391	26434
826	19409	26403
827	19428	26373
828	19448	26345
829	19467	26316
830	19485	26285
831	19503	26254
832	19521	26224
833	19539	26192
834	19558	26163
835	19576	26132
836	19594	26102
837	19613	26073
838	19631	26042
839	19651	26015
840	19669	25984
841	19689	25956
842	19707	25926
843	19725	25895
844	19744	25866
845	19763	25837
846	19782	25807
847	19800	25778
848	19819	25748
849	19837	25718
850	19854	25687
851	19872	25656
852	19890	25626
853	19908	25597
854	19927	25567
855	19945	25538
856	19966	25510
857	19983	25480
858	20001	25450
859	20020	25421
860	20038	25390
861	20056	25361
862	20074	25331
863	20092	25301
864	20111	25272
865	20131	25246
866	20149	25215
867	20167	25186
868	20186	25157
869	20207	25131
870	20225	25101
871	20243	25071
872	20261	25042
873	20279	25013
874	20298	24984
875	20316	24955
876	20335	24927
877	20354	24897
878	20371	24867
879	20389	24837
880	20406	24807
881	20424	24778
882	20443	24749
883	20461	24720
884	20479	24691
885	20498	24662
886	20517	24634
887	20535	24605
888	20552	24575
889	20571	24546
890	20588	24517
891	20606	24487
892	20624	24458
893	20644	24432
894	20664	24404
895	20683	24376
896	20703	24349
897	20724	24324
898	20742	24295
899	20760	24266
900	20778	24237
901	20796	24208
902	20815	24181
903	20833	24152
904	20850	24122
905	20868	24093
906	20887	24065
907	20904	24034
908	20922	24006
909	20940	23978
910	20958	23949
911	20977	23921
912	20995	23892
913	21013	23864
914	21030	23834
915	21046	23803
916	21064	23775
917	21083	23747
918	21102	23719
919	21121	23692
920	21140	23665
921	21160	23639
922	21180	23612
923	21198	23584
924	21213	23552
925	21232	23525
926	21252	23499
927	21272	23472
928	21290	23444
929	21307	23415
930	21325	23387
931	21344	23359
932	21363	23332
933	21381	23304
934	21396	23272
935	21413	23244
936	21430	23214
937	21449	23187
938	21466	23158
939	21485	23130
940	21503	23103
941	21521	23074
942	21539	23046
943	21553	23015
944	21572	22987
945	21591	22960
946	21606	22929
947	21628	22905
948	21645	22877
949	21664	22850
950	21682	22822
951	21700	22794
952	21719	22767
953	21737	22740
954	21755	22712
955	21773	22684
956	21793	22658
957	21811	22631
958	21830	22604
959	21849	22577
960	21865	22548
961	21883	22520
962	21901	22492
963	21919	22464
964	21938	22438
965	21957	22412
966	21976	22385
967	21995	22358
968	22009	22327
969	22028	22301
970	22048	22275
971	22065	22247
972	22084	22220
973	22101	22192
974	22119	22164
975	22140	22140
976	22158	22112
977	22177	22086
978	22195	22059
979	22213	22032
980	22231	22004
981	22249	21977
982	22266	21949
983	22284	21922
984	22303	21895
985	22322	21869
986	22343	21845
987	22362	21819
988	22380	21792
989	22399	21765
990	22416	21738
991	22435	21711
992	22453	21685
993	22472	21658
994	22491	21632
995	22509	21605
996	22528	21579
997	22546	21552
998	22564	21525
999	22582	21498
1000	22600	21471
1001	22620	21447
1002	22639	21420
1003	22656	21392
1004	22674	21365
1005	22692	21339
1006	22711	21313
1007	22729	21286
1008	22748	21260
1009	22766	21233
1010	22784	21206
1011	22803	21180
1012	22822	21154
1013	22842	21130
1014	22861	21104
1015	22880	21078
1016	22897	21051
1017	22916	21025
1018	22937	21001
1019	22954	20974
1020	22972	20947
1021	22990	20921
1022	23009	20895
1023	23028	20869
1024	23049	20845
1025	23066	20818
1026	23086	20793
1027	23104	20766
1028	23125	20742
1029	23143	20716
1030	23162	20690
1031	23181	20665
1032	23198	20638
1033	23217	20613
1034	23235	20586
1035	23253	20559
1036	23270	20532
1037	23290	20507
1038	23308	20482
1039	23327	20456
1040	23346	20431
1041	23365	20405
1042	23383	20379
1043	23402	20354
1044	23421	20328
1045	23440	20303
1046	23459	20277
1047	23478	20252
1048	23498	20228
1049	23514	20200
1050	23534	20175
1051	23549	20146
1052	23568	20121
1053	23589	20097
1054	23606	20071
1055	23628	20048
1056	23646	20022
1057	23664	19996
1058	23683	19971
1059	23703	19946
1060	23721	19920
1061	23734	19890
1062	23752	19864
1063	23771	19839
1064	23787	19812
1065	23805	19785
1066	23822	19758
1067	23840	19733
1068	23859	19708
1069	23878	19682
1070	23894	19655
1071	23911	19629
1072	23928	19602
1073	23948	19577
1074	23966	19552
1075	23984	19526
1076	24002	19500
1077	24021	19475
1078	24039	19449
1079	24056	19423
1080	24074	19397
1081	24094	19373
1082	24113	19349
1083	24131	19322
1084	24149	19297
1085	24167	19271
1086	24185	19246
1087	24204	19221
1088	24222	19195
1089	24239	19169
1090	24256	19142
1091	24274	19117
1092	24292	19091
1093	24310	19065
1094	24329	19041
1095	24349	19017
1096	24368	18992
1097	24385	18966
1098	24406	18943
1099	24424	18918
1100	24444	18893
1101	24465	18870
1102	24483	18845
1103	24503	18821
1104	24520	18795
1105	24539	18770
1106	24557	18745
1107	24576	18720
1108	24596	18696
1109	24614	18671
1110	24631	18645
1111	24650	18621
1112	24671	18597
1113	24689	18572
1114	24708	18547
1115	24725	18522
1116	24744	18497
1117	24762	18472
1118	24780	18447
1119	24798	18422
1120	24818	18397
1121	24836	18372
1122	24857	18349
1123	24877	18325
1124	24895	18300
1125	24914	18276
1126	24933	18252
1127	24952	18227
1128	24969	18202
1129	24989	18178
1130	25007	18152
1131	25025	18128
1132	25044	18103
1133	25062	18078
1134	25081	18054
1135	25100	18029
1136	25118	18004
1137	25136	17979
1138	25155	17955
1139	25175	17932
1140	25193	17907
1141	25211	17882
1142	25231	17858
1143	25249	17833
1144	25269	17809
1145	25288	17785
1146	25306	17760
1147	25324	17735
1148	25342	17711
1149	25361	17686
1150	25376	17659
1151	25395	17635
1152	25412	17609
1153	25430	17585
1154	25449	17561
1155	25467	17536
1156	25484	17511
1157	25502	17486
1158	25522	17462
1159	25541	17438
1160	25558	17413
1161	25577	17389
1162	25597	17366
1163	25617	17342
1164	25638	17319
1165	25658	17296
1166	25677	17272
1167	25696	17248
1168	25713	17223
1169	25732	17198
1170	25750	17174
1171	25770	17151
1172	25791	17128
1173	25808	17103
1174	25826	17078
1175	25844	17053
1176	25860	17027
1177	25878	17003
1178	25897	16979
1179	25915	16954
1180	25932	16929
1181	25951	16905
1182	25967	16879
1183	25987	16856
1184	26005	16832
1185	26025	16808
1186	26042	16783
1187	26060	16759
1188	26079	16735
1189	26096	16710
1190	26114	16686
1191	26134	16662
1192	26152	16638
1193	26170	16614
1194	26187	16589
1195	26208	16566
1196	26224	16541
1197	26245	16518
1198	26263	16494
1199	26282	16470
1200	26300	16446
1201	26320	16423
1202	26337	16398
1203	26356	16374
1204	26375	16350
1205	26393	16326
1206	26412	16302
1207	26430	16278
1208	26448	16254
1209	26467	16230
1210	26481	16203
1211	26502	16181
1212	26522	16158
1213	26540	16134
1214	26558	16110
1215	26578	16086
1216	26595	16062
1217	26617	16040
1218	26633	16015
1219	26649	15989
1220	26666	15965
1221	26684	15940
1222	26703	15917
1223	26721	15892
1224	26739	15868
1225	26756	15844
1226	26775	15821
1227	26795	15797
1228	26813	15774
1229	26832	15750
1230	26850	15726
1231	26867	15701
1232	26885	15677
1233	26904	15654
1234	26923	15630
1235	26942	15607
1236	26960	15583
1237	26980	15560
1238	26998	15536
1239	27019	15514
1240	27038	15490
1241	27056	15467
1242	27076	15444
1243	27095	15420
1244	27113	15396
1245	27132	15373
1246	27151	15350
1247	27171	15327
1248	27188	15303
1249	27206	15279
1250	27226	15256
1251	27246	15233
1252	27264	15209
1253	27280	15184
1254	27297	15160
1255	27316	15136
1256	27333	15112
1257	27352	15089
1258	27371	15066
1259	27392	15043
1260	27410	15020
1261	27430	14997
1262	27448	14974
1263	27466	14950
1264	27486	14927
1265	27506	14904
1266	27524	14881
1267	27542	14857
1268	27563	14834
1269	27583	14812
1270	27603	14789
1271	27621	14766
1272	27640	14743
1273	27659	14719
1274	27677	14696
1275	27694	14672
1276	27712	14648
1277	27729	14624
1278	27749	14601
1279	27761	14574
1280	27779	14551
1281	27798	14528
1282	27818	14505
1283	27842	14484
1284	27860	14461
1285	27880	14438
1286	27899	14415
1287	27918	14392
1288	27937	14369
1289	27956	14346
1290	27973	14322
1291	27991	14299
1292	28010	14276
1293	28029	14252
1294	28042	14226
1295	28062	14204
1296	28082	14182
1297	28101	14158
1298	28128	14140
1299	28147	14116
1300	28168	14095
1301	28188	14072
1302	28206	14048
1303	28226	14026
1304	28245	14003
1305	28265	13981
1306	28283	13957
1307	28304	13935
1308	28324	13913
1309	28343	13890
1310	28362	13867
1311	28380	13844
1312	28399	13821
1313	28418	13798
1314	28437	13775
1315	28455	13752
1316	28474	13729
1317	28492	13706
1318	28512	13683
1319	28531	13660
1320	28550	13637
1321	28570	13615
1322	28590	13592
1323	28617	13573
1324	28635	13550
1325	28655	13528
1326	28673	13504
1327	28692	13482
1328	28711	13459
1329	28728	13435
1330	28749	13413
1331	28769	13391
1332	28789	13368
1333	28807	13345
1334	28826	13322
1335	28845	13300
1336	28865	13277
1337	28882	13254
1338	28902	13231
1339	28920	13208
1340	28939	13185
1341	28958	13162
1342	28978	13140
1343	28997	13118
1344	29018	13096
1345	29037	13073
1346	29055	13050
1347	29076	13028
1348	29094	13005
1349	29111	12981
1350	29132	12959
1351	29151	12936
1352	29171	12914
1353	29191	12892
1354	29209	12869
1355	29227	12846
1356	29246	12823
1357	29263	12799
1358	29281	12776
1359	29300	12754
1360	29319	12731
1361	29336	12708
1362	29356	12686
1363	29377	12664
1364	29395	12641
1365	29416	12619
1366	29434	12596
1367	29453	12573
1368	29472	12550
1369	29490	12528
1370	29509	12505
1371	29529	12483
1372	29550	12461
1373	29570	12439
1374	29590	12417
1375	29608	12394
1376	29627	12371
1377	29646	12349
1378	29667	12327
1379	29685	12304
1380	29704	12281
1381	29723	12259
1382	29742	12236
1383	29761	12214
1384	29780	12191
1385	29799	12169
1386	29816	12145
1387	29835	12123
1388	29854	12101
1389	29875	12079
1390	29893	12056
1391	29912	12033
1392	29932	12011
1393	29952	11989
1394	29972	11967
1395	29993	11945
